Robux Amount,Gamepass name,Your Price,Your Cost,Profit,Status,Suggested Lower Price,Gamepass name,Robux Rate Per 1000,Logshet
239,67,65,54.97,10.03,Okay,62,double roll,230,-480 / bought 1500 - 500 rs
119,35,35,27.37,7.63,Okay,30,fast roll,, + 145 / Yuan
30,10,10,6.9,3.1,Bad,5,lucky rolls,,
159,45,45,36.57,8.43,Okay,40,VIP,,
79,22,22,18.17,3.83,Bad,17,auto collect,,
55,16,16,12.65,3.35,Bad,11,1 equip,,
99,31,31,22.77,8.23,Okay,26,more drops,,
5000,,1500,1150,350,Good,-5,,,
,,,0,0,Bad,-5,,,
KICK A LUCKY BLOCK (done),,,#VALUE!,#VALUE!,#VALUE!,-5,,,
,,,0,0,Bad,-5,Server luck,,
295,VIP,95,67.85,27.15,Good,#VALUE!,VIP,,
139,x2 kick power,45,31.97,13.03,Okay,#VALUE!,x2 kick power,,
159,x2 cash,55,36.57,18.43,Okay,#VALUE!,x2 cash,,
99,x2 brainrot luck,30,22.77,7.23,Okay,#VALUE!,x2 brainrot luck,,
139,x2 mutation luck,45,31.97,13.03,Okay,#VALUE!,x2 mutation luck,,
,,,0,0,Bad,-5,,,
anime vanguards (top 1),,,#VALUE!,#VALUE!,#VALUE!,-5,,,
1299,430,390,298.77,91.23,Good,425,shiny hunter,,
299,100,95,68.77,26.23,Good,95,vip,,
599,200,180,137.77,42.23,Good,195,display all units,,
149,50,50,34.27,15.73,Okay,45,extra unit storage,,
799,270,235,183.77,51.23,Good,265,premium pass,,
,,,0,0,Bad,-5,,,
re:rangers X,,,#VALUE!,#VALUE!,#VALUE!,-5,,,
199,70,65,45.77,19.23,Okay,65,vip,,
49,20,20,11.27,8.73,Okay,15,fast star,,
149,50,45,34.27,10.73,Okay,45,extra unit storage,,
299,100,95,68.77,26.23,Good,95,auto trait reroll,,
499,170,165,114.77,50.23,Good,165,shiny hunter,,
799,270,265,183.77,81.23,Good,265,3x game speed,,
99,40,35,22.77,12.23,Okay,35,happy anniv bundle,,
99,40,35,22.77,12.23,Okay,35,universal bundle,,
599,180,180,137.77,42.23,Good,175,premium pass,,
1199,190,340,275.77,64.23,Good,185,10 battlepass,,
